citation,year,model_type,mutations,multiple_stimuli,electrophysiology_features,protocol_optimization,heldout_evaluation,ai_transformations,software_availability,distinction_from_neurosem,closeness_1to5,kind,doi,url,verification_method,found_via,evidence_file
"Diep M, Mekala RR, Ayyangar U, et al. (2021). Metamorphic Testing for Image-based Calcium Imaging Analysis Pipelines. 2021 IEEE/ACM 6th International Workshop on Metamorphic Testing (MET), pp. 53-60.",2021,neuroscience data-analysis software (CaImAn cell registration in a calcium-imaging pipeline); not neuron models,"no - applies metamorphic input transformations (rotation, translation, blurring, padding) to images; no program or model mutations.","partial - several input transformations are applied, loosely analogous to varied stimuli, but on imaging data.",no - outputs compared are identified neuron cells from images.,no - no selection of transformations or tests.,no - feasibility study on one module.,no - not considered.,none released per abstract (tests CaImAn within the authors' BRAIN platform),"Shows metamorphic testing applied to neuroscience analysis software, not to simulation models. NeuroSem targets behavioural drift in neuron models themselves, using stimulation protocols, electrophysiology features, mutation-calibrated tolerances, protocol selection and held-out evaluation, none of which appear here.",1,paper,10.1109/met52542.2021.00016,https://doi.org/10.1109/met52542.2021.00016,"Crossref api.crossref.org/works/10.1109/met52542.2021.00016 (authors, venue, pages 53-60, 2021-06); Semantic Scholar Graph API (abstract, DBLP key conf/icse-met/DiepMAMPLL21); OpenAlex works API (abstract). Full text not accessed (IEEE Xplore, not attempted).","Google Scholar '""metamorphic testing"" neuron simulation'; metadata verified via Crossref api.crossref.org/works",deepread_r1_b11.json
"Farhan M., Krejci C., Olsen M., et al. (2021). Metamorphic Testing for Hybrid Simulation Validation. 2021 Annual Modeling and Simulation Conference (ANNSIM), pp. 1-12.",2021,Hybrid (agent-based plus discrete-event) simulation model; restaurant server helping-behaviour case study,unclear - abstract does not mention mutation analysis or seeded faults; full text paywalled and not read.,"partial - metamorphic relations vary model inputs (index terms mention inter-arrival time, group size, walking speed); not electrical stimuli.",no - operational simulation outputs; no neuroscience.,no - abstract gives no indication of selecting or minimizing a set of metamorphic relations.,no - single case-study demonstration.,no - none mentioned.,none,"Applies metamorphic testing to validate one non-neuroscience hybrid simulation when data are scarce. NeuroSem is differential (transformed versus reference model) rather than relation-based, works on NeuroML neuron models with electrophysiology features, calibrates tolerances by refinement, and adds mutant-calibrated protocol selection with held-out model and fault-family evaluation. Metamorphic testing of simulations per se is not a NeuroSem novelty claim.",1,paper,10.23919/annsim52504.2021.9552058,https://ieeexplore.ieee.org/document/9552058,"Crossref API (title, 4 authors, ANNSIM 2021, pp. 1-12); IEEE Xplore REST abstract endpoint for document 9552058 (abstract, index terms); Semantic Scholar batch API (abstract, DBLP key conf/annsim/FarhanKOR21). Full text not accessed (paywall).",WebSearch site:ieeexplore.ieee.org increasing validity of simulation models through metamorphic testing; verified via Crossref,deepread_r1_b23.json
"Goaillard J-M, Marder E (2021). Ion Channel Degeneracy, Variability, and Covariation in Neuron and Circuit Resilience. Annual Review of Neuroscience, 44, 335-357.",2021,biological neurons and circuits; conductance-based modelling discussed conceptually (review),"no; reviews biological conductance variability and experimental deletions/pharmacology, not recorded single-fault model mutants.",unclear; abstract notes perturbations and pharmacological manipulations reveal differences; full text not accessed (no open copy found).,unclear; discusses intrinsic properties and similar behaviour conceptually; no feature-extraction pipeline evident from abstract.,no; no stimulus or test selection method described in abstract.,no; narrative review without a model-testing evaluation design.,no; no AI or code transformations involved.,none,Biological rationale only: degenerate conductance sets look alike yet respond differently to perturbation. NeuroSem would operationalise this as automated multi-protocol regression testing of edited models.,1,paper (review),10.1146/annurev-neuro-092920-121538,https://doi.org/10.1146/annurev-neuro-092920-121538,"Crossref works API (title, authors, vol 44, pp 335-357, 2021, abstract); Europe PMC core record PMID 33770451 (abstract). Full text not accessed.",PubMed E-utilities 'degeneracy[ti] AND conductance-based',deepread_r1_b17.json
"Goyal, A., Shyamasundar, R.K., Sivakumar, G., et al. (2021). Empirical Analysis of Greedy, GE and GRE Heuristics. Proceedings of the 14th Innovations in Software Engineering Conference (ISEC 2021), 1-11.",2021,general software regression test suites (synthetic requirement-coverage matrices),"no - coverage is of requirements, modelled as normally distributed per test; no mutants.",no - abstract test cases only; no stimulus concept.,no - not applicable.,"yes - compares Greedy, Greedy Essential and GRE minimization heuristics by output size and runtime across overlap ratios.",no - empirical study on generated instances; no held-out generalization question.,no - none.,none identified,"Background only for the greedy set-cover step, which NeuroSem does not claim as novel. NeuroSem's contribution lies in the neuroscience mutant/protocol/feature construction and held-out evaluation, not the heuristic.",1,paper,10.1145/3452383.3452389,https://dl.acm.org/doi/10.1145/3452383.3452389,Crossref works API (metadata); OpenAlex and Semantic Scholar API (abstract).,WebSearch site:dl.acm.org test suite minimization greedy set cover mutation; verified via Crossref,deepread_r1_b26.json
"Raunak MS, Olsen MM (2021). Metamorphic Testing on the Continuum of Verification and Validation of Simulation Models. 2021 IEEE/ACM 6th International Workshop on Metamorphic Testing (MET), 47-52.",2021,General modeling and simulation (M&S) models; conceptual workshop paper extending the authors' earlier metamorphic-testing-for-validation work,unclear - the abstract does not mention mutants; the full text was not accessed.,partial - metamorphic testing inherently compares related input executions; no stimulus battery is described.,no - not neuroscience-specific.,unclear - the abstract describes reusing validation guidelines to elicit relations; no optimized selection is mentioned.,no - no empirical held-out evaluation is described in the abstract.,no - no AI-driven edits are evaluated.,none reported in abstract (unclear; full text not accessed),"Frames metamorphic testing as serving both verification and validation of simulations. NeuroSem sits on the verification side (behaviour preservation after edits, not biological validity) and adds an empirical, mutation-calibrated, held-out-evaluated protocol battery for neuron models.",1,paper,10.1109/met52542.2021.00015,https://doi.org/10.1109/MET52542.2021.00015,"Crossref works API (proceedings-article, MET 2021, pp. 47-52, issued 2021-06); Semantic Scholar Graph API (abstract, DBLP key conf/icse-met/RaunakO21); Unpaywall API (no OA copy). Full text not accessed.",WebSearch site:ieeexplore.ieee.org metamorphic testing simulator computational biology bioinformatics; verified via Crossref,deepread_r1_b4.json
"Tiwari K, Kananathan S, Roberts MG, et al. (2021). Reproducibility in systems biology modelling. Molecular Systems Biology 17(2):MSB20209982.",2021,published ODE kinetic systems biology models encoded in SBML (BioModels curation),"no - errors found in published models were natural reporting errors, some corrected manually; nothing seeded.",no - each model checked against the simulation figures in its original paper.,no - kinetic model outputs compared with published figures; not electrophysiology.,no - not addressed.,no - retrospective analysis of 455 curation-prioritized models; no split.,no - manual encoding and curation.,none (models deposited in BioModels https://www.ebi.ac.uk/biomodels/),Shows about half of 455 published ODE models did not directly reproduce and proposes an 8-point scorecard. Motivates behaviour checks but offers no automated edit-regression method; NeuroSem supplies one for neuron models.,1,paper (empirical reproducibility study + scorecard),10.15252/msb.20209982,https://doi.org/10.15252/msb.20209982,Crossref https://api.crossref.org/works/10.15252/msb.20209982; Europe PMC core record PMID 33620773 / PMC7901289 (abstract) and fullTextXML https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7901289/fullTextXML,completeness critic r2,deepread_r2_b9.json
"Awile O, Kumbhar P, Cornu N, et al. (2022). Modernizing the NEURON Simulator for Sustainability, Portability, and Performance. Frontiers in Neuroinformatics, 16, 884046.",2022,"general-purpose biophysical neuron simulator engineering (NEURON/CoreNEURON, NMODL source-to-source compiler)",no; no mutation testing described,no; no multi-protocol model testing described,no; the retrieved full text gives no electrophysiology-feature-based regression,no,no,no,NEURON https://github.com/neuronsimulator/nrn (GitHub API license field: NOASSERTION),"Simulator-level CI (unit/integration tests, coverage, notebook runs) plus a new NMODL translation path. NeuroSem would test user NeuroML model edits behaviourally, with mutants and optimised protocol batteries.",1,paper,10.3389/fninf.2022.884046,https://doi.org/10.3389/fninf.2022.884046,"Crossref works API (15 authors, vol 16, article 884046, 2022-06-27, has-preprint 10.1101/2022.03.03.482816); Europe PMC MED 35832575; PMC9272742 full text for testing/CI content; GitHub REST API for repo","Europe PMC '(bug OR bugs OR ""software errors"") AND (""neural simulator"" ...)'; bioRxiv version via WebSearch site:biorxiv.org",deepread_r1_b18.json
"Fitzpatrick, R., Stefan, M. I. (2022). Validation Through Collaboration: Encouraging Team Efforts to Ensure Internal and External Validity of Computational Models of Biochemical Pathways. Neuroinformatics, 20, 277-284.",2022,biochemical reaction pathway models in neuroscience (commentary / think piece),no - no mutants; sensitivity analysis mentioned only as background.,no - no simulation experiments; proposes an incentivised experiment wishlist database.,no - biochemical pathway focus; no electrophysiological feature extraction.,no - no test or protocol selection method.,no - think piece; states no data were produced or analysed.,no - not discussed.,none,"Conceptual motivation only: proposes human pre-publication reproducibility audits (auditor re-runs model, reproduces figures). NeuroSem would provide automated multi-protocol behavioural regression checks for neuron models after edits.",1,paper,10.1007/s12021-022-09584-5,https://doi.org/10.1007/s12021-022-09584-5,"Crossref works API (title, authors, vol 20, pp. 277-284, abstract); Europe PMC search (PMID 35543917, PMC9537119); full text read via Europe PMC fullTextXML.",Semantic Scholar Graph API search 'reproducibility regression testing computational neuroscience'; metadata verified via Crossref,deepread_r1_b15.json
"Parker, C., Nelson, E., Zhang, T. (2022). VeVaPy, a Python Platform for Efficient Verification and Validation of Systems Biology Models with Demonstrations Using Hypothalamic-Pituitary-Adrenal Axis Models. Entropy, 24(12), 1747.",2022,systems-biology ODE/DDE models of the hypothalamic-pituitary-adrenal axis (five published models),no: no fault injection; verifies and validates existing models,partial: models compared against rest and acute stress-test (TSST) hormone data; not a stimulus battery for regression,no: ACTH and cortisol concentration time series scored with a cost function,no: parameter optimization fits models to data; no test selection,"partial: validation uses new, independent patient data; no held-out models for test selection",no: none described,"VeVaPy, https://github.com/cparker-uc/VeVaPy (MIT per GitHub API)","Data-driven verification and validation of HPA axis models. NeuroSem addresses a different question: whether a transformed neuron model preserves its reference's behaviour, using stimulation batteries, controlled mutants and protocol selection.",1,paper,10.3390/e24121747,https://doi.org/10.3390/e24121747,"Crossref works API (metadata, abstract); OpenAlex DOI record; Europe PMC full text PMC9777964 (modules, cost function, independent data, GitHub link); GitHub REST API via gh for repository and license.",Europe PMC citations of 'Replicability or reproducibility?' (JCNS 2018),deepread_r1_b35.json
"Sanz-Robinson J, Jahanpour A, Phillips N, et al. (2022). NeuroCI: Continuous Integration of Neuroimaging Results Across Software Pipelines and Datasets. bioRxiv preprint.",2022,neuroimaging processing pipelines and datasets,no - evaluates variability across pipelines; no mutation.,"no - multiple datasets and pipelines, not stimulation protocols.",no - neuroimaging outputs.,no - not applicable.,no - not described.,no - not discussed.,NeuroCI (named in preprint); URL not verified in this pass,"CI-based reproducibility for neuroimaging results, a different neuroscience subfield. NeuroSem targets neuron-model edits with electrophysiology protocols and mutation calibration.",1,preprint,10.1101/2022.05.30.494062,https://doi.org/10.1101/2022.05.30.494062,"Crossref /works/<doi> (posted-content, authors, date, abstract). Full text not accessed.",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b2.json
"Shaikh B, Smith LP, Vasilescu D, et al. (2022). BioSimulators: a central registry of simulation engines and services for recommending specific tools. Nucleic Acids Research 50(W1):W108-W114.",2022,"multi-format biological simulation infrastructure (SBML, CellML, NeuroML/LEMS, BNGL etc. in COMBINE/SED-ML archives)",no - validates simulator tools and projects against standards; no deliberate model fault injection found.,no - test suite runs example COMBINE archives per tool; no stimulation-protocol battery for a model.,no - checks that tools produce expected outputs for example archives; no electrophysiology features.,"no - example archives chosen from tool specifications, not optimised for fault detection.",no - registry and service description; no held-out evaluation of detection power.,no - no AI-assisted transformations considered.,BioSimulators https://github.com/biosimulators/Biosimulators (MIT); test suite https://github.com/biosimulators/Biosimulators_test_suite (MIT); https://biosimulators.org,"Engine-level conformance infrastructure NeuroSem could reuse for multi-simulator execution. NeuroSem targets behavioural drift of a single model after edits, using mutants, multi-protocol electrophysiology fingerprints, calibrated tolerances and battery selection.",1,software,10.1093/nar/gkac331,https://doi.org/10.1093/nar/gkac331,"Crossref api.crossref.org/works/10.1093/nar/gkac331 (title, author list led by Shaikh B, NAR 50(W1):W108-W114, issued 2022-05-07); Europe PMC search (PMID 35524558, PMC9252793) abstract and fullTextXML read (test suite section); GitHub REST API repo metadata and license for both repos.",Europe PMC 'pyNeuroML OR jNeuroML' | Europe PMC: 'LEMS AND NeuroML'; Europe PMC: 'pyNeuroML' [fallback source used because arXiv/OpenAlex were rate-limited] | OpenAlex search 'pyNeuroML'; Europe PMC citations of ModelDB 20 years,deepread_r1_b21.json
"Stacy B, Hauzel J, Lindvall M, et al. (2022). Metamorphic testing in bioinformatics software: a case study on metagenomic assembly. Proceedings of the 7th International Workshop on Metamorphic Testing (MET '22), ACM, pp. 31-33.",2022,general bioinformatics software (metagenomic assembly tools MEGAHIT and Pilon used by MetaCompass); not a mechanistic simulation model,"no - abstract reports a metamorphic test exposing real inconsistencies; no fault seeding mentioned (full text inaccessible, HTTP 403).",unclear - abstract describes one simple metamorphic test; variety of input transformations not stated.,"no - outputs are genome assemblies, not voltage traces or electrophysiological features.",no - no test selection or optimisation described in abstract.,no - short case study; no held-out subjects or fault families reported in abstract.,no - no AI-assisted edits or transformations mentioned.,none (tests MEGAHIT and Pilon; no testing-tool release identified),"Shows metamorphic testing can find subtle defects in bioinformatics code that standard testing missed, which supports NeuroSem's motivation. NeuroSem would instead target neuron models, with seeded single-fault mutants, calibrated electrophysiology-feature tolerances and optimised multi-protocol batteries evaluated on held-out models.",1,paper,10.1145/3524846.3527340,https://doi.org/10.1145/3524846.3527340,"Crossref https://api.crossref.org/works/10.1145/3524846.3527340 (title with subtitle, 5 authors, MET proceedings at ICSE '22, pp. 31-33, issued 2022-05-09); OpenAlex https://api.openalex.org/works/doi:10.1145/3524846.3527340 and Semantic Scholar graph API batch (abstract; DBLP conf/icse-met/StacyHLPP22). ACM PDF and landing page returned HTTP 403, so the reading is abstract-only.",WebSearch site:dl.acm.org metamorphic testing bioinformatics simulation programs; WebSearch site:ieeexplore.ieee.org (IEEE listing 9826132); verified via Crossref,deepread_r1_b24.json
"Jimenez CE, Yang J, Wettig A, et al. (2023). SWE-bench: Can Language Models Resolve Real-World GitHub Issues? arXiv:2310.06770 (published at ICLR 2024).",2023,"Python repositories (2,294 GitHub issue tasks from 12 projects).","no - Real issues, not seeded faults.",partial - Evaluated with repository unit tests.,no - None.,no - None.,partial - Uses tests from the resolving pull request to judge model patches.,yes - Language models edit codebases to resolve issues.,"SWE-bench, https://www.swebench.com","Benchmark for LLM code edits judged by tests. NeuroSem concerns whether edits to neuron models preserve electrophysiological behaviour, with AI transformations only an optional case study.",1,preprint,10.48550/arXiv.2310.06770,https://arxiv.org/abs/2310.06770,"arXiv abstract page (title, seven authors, versions, comment citing ICLR 2024, DOI).",completeness-critic gap round 2 (re-run 2026-09-13),deepread_r2x_b0.json
Naudin L (2023). Different parameter solutions of a conductance-based model that behave identically are not necessarily degenerate. Journal of Computational Neuroscience 51(2):201-206.,2023,Conductance-based neuron models (short theoretical piece indexed as Review; specific model unverified),"unclear - no abstract or full text accessible; keywords mention ion channel variability and parameter solutions, not mutant generation.",unclear - full text not retrieved.,unclear - full text not retrieved.,"unclear - full text not retrieved; nothing in title, keywords or record suggests protocol selection.","unclear - full text not retrieved; six-page Review is unlikely to include an evaluation design, but this is unconfirmed.",unclear - full text not retrieved; retrieved metadata gives no indication of AI-assisted transformations.,none identified (full text not accessed),"Retrieved metadata and a machine-generated Semantic Scholar summary suggest it argues identical behaviour is insufficient for degeneracy, proposing shared bifurcation structure as a condition. Relevant caution for equivalent-mutant definitions; not a testing method.",1,paper,10.1007/s10827-023-00848-w,https://doi.org/10.1007/s10827-023-00848-w,"Crossref api.crossref.org/works/10.1007/s10827-023-00848-w (title, 1 author, vol 51 issue 2, pp 201-206, no abstract, 40 references); PubMed esummary PMID 36905484 (pubtype Journal Article, Review); Europe PMC (keywords); HAL API hal-04126472 (no abstract; PDF blocked by Anubis access-denied page); Semantic Scholar API (abstract elided, tldr only); Springer page redirected to auth, not read.","Europe PMC '""conductance-based"" AND degeneracy AND (parameter OR sensitivity)'; PubMed efetch PMID 36905484 (no abstract available)",deepread_r1_b16.json
"White, A. D., Hocky, G. M., Gandhi, H. A., et al. (2023). Assessment of chemistry knowledge in large language models that generate code. Digital Discovery, 2(2), 368-376.",2023,general chemistry / computational chemistry coding tasks (incl. MD analysis and simulation-method prompts); not neuron models,no - no mutation of code or models; only prompt contexts (e.g. copyright header) and sampling temperature are varied.,"no - not applicable; each prompt checked by its own unit tests, no stimulation protocols.",no - no electrophysiology; correctness judged by unit tests or expert evaluation of generated code.,no - no test or protocol selection; partial analogue only in comparing prompt-engineering contexts.,no - benchmark of 84 author-written prompts across topics; no discovery/held-out split reported.,"partial - LLMs (Codex davinci variants, CodeGen, InCoder) generate code from prompts; generation from scratch, not edits of existing models.","nlcc https://github.com/whitead/nlcc ; data repo https://github.com/ur-whitelab/nlcc-data (cited, not separately checked); completions on Zenodo https://doi.org/10.5281/zenodo.6800475 (cited, not separately checked)","Benchmarks LLM code-writing correctness with unit tests in chemistry. NeuroSem targets behavioural preservation of edited neuron models using electrophysiology fingerprints, mutants and optimized held-out-evaluated protocol batteries; AI is only a possible case study.",1,paper,10.1039/d2dd00087c,https://doi.org/10.1039/d2dd00087c,"Crossref API (api.crossref.org/works/10.1039/d2dd00087c: title, 11 authors, Digital Discovery 2(2) 368-376, 2023); Europe PMC REST (PMID 37065678, PMC10087057) abstract and fullTextXML for methods; OpenAlex (W4319996831) confirming venue/year; GitHub API via gh for whitead/nlcc (exists, no license field).",Europe PMC LLM simulation code validation/benchmark query; verified via Crossref,deepread_r1_b44.json
"Ji Z, Guo S, Qiao Y, et al. (2024). Automating literature screening and curation with applications to computational neuroscience. Journal of the American Medical Informatics Association, 31(7), 1463-1470.",2024,LLM and embedding pipeline classifying literature and metadata for ModelDB curation; no neuron models simulated,no - screens papers; no neuron models are altered or simulated.,no - no simulation or stimulation.,"no - extracts bibliographic metadata such as cell types and topics, not electrophysiology features.","partial - tunes LLM prompting (instruction-tuning, chain of thought) for classification; unrelated to stimulation protocols.",unclear - reports classification accuracy on known ModelDB and PubMed sets; split design not checked because full text was not retrieved.,"partial - uses GPT-3.5, GPT-4 and SPECTER2, but for literature curation, not for transforming model code.",none (no code repository found in the retrieved abstract or metadata); applied to ModelDB https://modeldb.science,"Uses LLMs on text about models, not on model files. NeuroSem's optional agent study would test whether AI-made model edits keep behaviour, which this work does not address.",1,paper,10.1093/jamia/ocae097,https://doi.org/10.1093/jamia/ocae097,"Crossref API (4 authors, JAMIA 31(7):1463-1470, online 2024-05-09; has-preprint 10.1101/2023.12.15.571963); Europe PMC abstract (PMID 38722233, PMC11187430). NCBI efetch returned only front matter, so methods were not read.","PubMed E-utilities 'ModelDB[tiab]'; Europe PMC '""large language model"" AND ""computational neuroscience""'",deepread_r1_b19.json
"Ma X, Miraucourt LS, Qiu H, et al. (2024). ElecFeX is a user-friendly toolbox for efficient feature extraction from single-cell electrophysiological recordings. Cell Reports Methods, 4(6), 100791.",2024,Feature-extraction toolbox for experimental patch-clamp recordings; uses a Morris-Lecar model only to test rheobase estimators,no - no seeded model faults; simulated Morris-Lecar traces only check its rheobase estimation methods.,"partial - handles recordings under different current-clamp protocols (e.g. step, ramp), but builds no model test battery.","yes - customizable measurements such as input resistance, steady-state voltage, rheobase and spike properties, with batch analysis.",no - no selection or optimization of stimulation protocols.,no - demonstrated on diverse recordings to separate neuron subgroups; no held-out testing of model changes.,no - no AI-driven transformations.,ElecFeX (MATLAB; GPL-3.0 per GitHub API) https://github.com/XinyueMa-neuro/ElecFeX,"A feature-layer alternative to eFEL (MATLAB, aimed at recordings). NeuroSem would use features only as one step inside mutation-calibrated, multi-protocol regression testing of models.",1,software,10.1016/j.crmeth.2024.100791,https://doi.org/10.1016/j.crmeth.2024.100791,"Crossref API (8 authors, Cell Rep Methods 4(6):100791, 2024-06); Europe PMC abstract and full-text XML (PMID 38848714, PMC11228277); GitHub REST API for repo metadata and license.","Europe PMC '""current clamp"" AND ""stimulus protocol"" AND model ...'; bioRxiv preprint via WebSearch site:biorxiv.org (eFEL ... BluePyEfe)",deepread_r1_b19.json
"Siegel, Z. S., Kapoor, S., Nadgir, N., et al. (2024). CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark. arXiv preprint arXiv:2409.11363.",2024,"general computational research code (270 tasks from 90 CodeOcean capsules in computer science, social science, medicine; Python or R)",no - agents reproduce unmodified published code; no seeded faults.,no - tasks ask questions about outputs of running each paper's code; no perturbation battery.,"no - task answers are reported study results, not neural features.",no - no test or input selection.,yes - train/test task split with encrypted test set; answers judged within 95% prediction intervals from three manual reruns.,"partial - AutoGPT and CORE-Agent (GPT-4o, GPT-4o-mini) set up and run code; they reproduce rather than edit models.","CORE-Bench harness https://github.com/siegelz/core-bench (LICENSE: MIT; README says no longer actively maintained, recommends HAL harness); dataset https://huggingface.co/datasets/siegelz/core-bench","Hidden-answer scoring with rerun-based tolerance is a precedent for NeuroSem's agent-study scoring; NeuroSem derives tolerances from numerical refinement and targets behavioural drift from model edits, not reproduction.",1,preprint,10.48550/arxiv.2409.11363,https://doi.org/10.48550/arxiv.2409.11363,"DataCite DOI API (metadata, abstract, v1/v2 dates); arXiv abs page (authors, code link); arXiv HTML full text (evaluation criteria); GitHub raw README and LICENSE (REST API was rate-limited).",DataCite (arXiv DOIs) agents + reproduction query; abstract via DataCite,deepread_r1_b43.json
"Tian, M., Gao, L., Zhang, S., et al. (2024). SciCode: A Research Coding Benchmark Curated by Scientists. Advances in Neural Information Processing Systems 37, pp. 30624-30650.",2024,"LLM code-generation benchmark of research problems (numerical methods, system simulation, scientific calculation across 16 natural-science subfields)",no - problems are scored against scientist-annotated gold solutions; no mutation of existing models,partial - several numeric test cases per subproblem; not stimulation protocols or perturbation batteries,no - numeric outputs compared to frozen targets; no electrophysiology features,no - fixed test cases; no selection of a compact test battery,partial - models evaluated on benchmark problems with gold test data; no held-out model or fault-family design relevant to transformations,"yes - evaluates language models generating scientific code from problem descriptions, not edits of existing neuron models",SciCode - https://github.com/scicode-bench/SciCode (Apache-2.0 per GitHub API),Relevant only to NeuroSem's optional agent case study as a hidden numeric-test benchmark. NeuroSem asks whether edits to existing NeuroML models preserve behaviour across perturbation protocols with calibrated tolerances; SciCode scores from-scratch scientific code generation against fixed targets.,1,paper,10.52202/079017-0963,https://doi.org/10.52202/079017-0963,"Crossref works API (title, 30 authors, NeurIPS 37, pages); DataCite for arXiv 10.48550/arxiv.2407.13168 (abstract); arXiv abs page (author list, CC BY 4.0); GitHub REST API via gh (licence) and README (NeurIPS D&B 2024 acceptance note)",Crossref SciCode query; DataCite (arXiv); GitHub scicode-bench/SciCode (Apache-2.0),deepread_r1_b42.json
"Chen, S. (2025). High-Performance Computing Code Translation Agent: Validating and Improve the Quality of Large Language Models Output in High-Performance Computing Translation Tasks. Creative component (M.S., Artificial Intelligence), Iowa State University.",2025,HPC scientific code (sequential-to-parallel translation); general scientific software,no: no deliberate fault injection or mutants described.,unclear: abstract does not describe test inputs; full text is closed access and was not read.,"no: equivalence gauged by cosine similarity and performance reports, not physiological features.",no: no test or input selection method described.,unclear: evaluation design not described beyond similarity and performance measures in the abstract.,"yes: LangGraph multi-agent LLM framework analyses, translates, compiles and iteratively improves HPC code.",none verified (no repository URL in retrieved records),"Validates LLM code translations with compilation, similarity and performance checks. NeuroSem would test behavioural preservation of neuron models via multi-protocol electrophysiology features with calibrated tolerances; AI agents are only a small case study.",1,other,10.31274/cc-20251215-121,https://doi.org/10.31274/cc-20251215-121,"Crossref works API (type report, publisher Iowa State University, issued 2025-05); doi.org resolved to dr.lib.iastate.edu; Iowa State DSpace REST item metadata (abstract, genre creative component, M.S. Artificial Intelligence); OpenAlex (closed access).",Crossref: 'large language model code translation scientific software testing' (Crossref type: report) [fallback source used because arXiv/OpenAlex were rate-limited] | Crossref LLM code translation query; verified via Crossref,deepread_r1_b29.json
"Dhruv A, Dubey A (2025). Leveraging Large Language Models for Code Translation and Software Development in Scientific Computing. Proceedings of the Platform for Advanced Scientific Computing Conference (PASC), pp. 1-9.",2025,general scientific software (legacy Fortran particle-physics simulation code translated to C++),"no - no seeded faults or mutants; LLM output is reviewed, compiled and tested by developers.",no - correctness is checked with the codebase's existing tests; no systematic input or perturbation battery found.,no - not a neuroscience or electrophysiology setting.,"no - focuses on prompt engineering and a translation workflow, not test selection.",no - experience report comparing LLMs on conversion tasks; no held-out evaluation design found.,"yes - LLM-assisted Fortran-to-C++ translation, Fortran-C API generation and code inspection via the CodeScribe tool.","CodeScribe - https://doi.org/10.5281/zenodo.13879406 (Zenodo record 'akashdhruv/CodeScribe: 2024.09', CC-BY-4.0 per DataCite); results repo https://github.com/akashdhruv/llm-conversion-performance","Shows LLM translation of science code needs correctness checks but relies on manual review and existing tests. NeuroSem would offer a domain-specific, mutation-calibrated behavioural check for AI-edited neuron models.",1,paper,10.1145/3732775.3733572,https://doi.org/10.1145/3732775.3733572,"Crossref https://api.crossref.org/works/10.1145/3732775.3733572 (metadata, no abstract); Semantic Scholar Graph API DOI:10.1145/3732775.3733572 (abstract, arXiv ID); arXiv https://arxiv.org/abs/2410.24119 (authors/date) and PDF full text (tool links); DataCite https://api.datacite.org/dois/10.5281/zenodo.13879406; GitHub REST users/akashdhruv/repos.",WebSearch site:dl.acm.org LLM agents translating legacy scientific code Fortran C++ equivalence testing; verified via Crossref | Crossref: 'large language model code translation scientific software testing'; metadata confirmed via Crossref /works/<doi> [fallback source used because arXiv/OpenAlex were rate-limited] | Crossref LLM code translation scientific computing query; verified via Crossref (no abstract),deepread_r1_b28.json
"Duston T, Xin S, Sun Y, et al. (2025). AInsteinBench: Benchmarking Coding Agents on Scientific Repositories. arXiv preprint arXiv:2512.21373.",2025,"general scientific software repositories (PySCF, Qiskit, RDKit, OpenMM, AMReX, Einstein Toolkit); no neuroscience codebases","no; tasks come from real maintainer pull requests with fail-to-pass tests, not systematically generated single-fault mutants.","no; correctness is judged by repository unit tests, not by stimulation protocols.",no; no neuron models or electrophysiological features are involved.,no; no selection or minimisation of test or protocol sets is described.,"no; a benchmark for scoring agents, with no discovery/held-out split for choosing tests.",yes; LLM agents edit real scientific repositories in Docker and are scored by tests; authors note tests can be imperfect scientific oracles.,AInsteinBench https://github.com/ByteDance-Seed/AInsteinBench (Apache-2.0 per GitHub API),Measures agent coding ability on non-neuroscience repositories via unit tests. NeuroSem asks whether edited neuron models keep their behaviour across stimulation protocols; agents are only a secondary case study there.,1,preprint,,https://arxiv.org/abs/2512.21373,"arXiv abstract page citation meta tags and submission history (v1 2025-12-24); arXiv HTML full text (repository list, test-based evaluation, GitHub link); GitHub REST API via gh for repository and licence. arXiv export API returned a rate-limit error.",WebSearch LLM coding agents neuroscience query; arXiv abstract page metadata,deepread_r1_b40.json
